"look_back-1, n_epochs-16, batch_size-16, optimizer-rmsprop, layers-[39, 32, 26], dropout-0.21107679028652343"
"look_back-8, n_epochs-16, batch_size-16, optimizer-rmsprop, layers-[23], dropout-0.29356012164919465"
"look_back-14, n_epochs-32, batch_size-32, optimizer-rmsprop, layers-[14, 12], dropout-0.20672883024975086"
"look_back-30, n_epochs-512, batch_size-512, optimizer-rmsprop, layers-[19], dropout-0.06267628945440756"
"look_back-38, n_epochs-32, batch_size-32, optimizer-sgd, layers-[27], dropout-0.2508139289141352"
"look_back-19, n_epochs-16, batch_size-16, optimizer-rmsprop, layers-[8], dropout-0.278873387100349"
"look_back-16, n_epochs-128, batch_size-128, optimizer-rmsprop, layers-[33, 27], dropout-0.4771032233419023"
"look_back-1, n_epochs-16, batch_size-16, optimizer-rmsprop, layers-[39], dropout-0.3226799523817871"
"look_back-39, n_epochs-16, batch_size-16, optimizer-sgd, layers-[39], dropout-0.12225026063874517"
"look_back-1, n_epochs-256, batch_size-256, optimizer-rmsprop, layers-[8, 4], dropout-0.18746336168868932"
"look_back-7, n_epochs-128, batch_size-128, optimizer-sgd, layers-[21], dropout-0.49097442929458956"
"look_back-5, n_epochs-16, batch_size-16, optimizer-rmsprop, layers-[18], dropout-0.028051263900110257"
"look_back-39, n_epochs-256, batch_size-256, optimizer-rmsprop, layers-[39], dropout-0.4788832303045577"
"look_back-19, n_epochs-16, batch_size-16, optimizer-sgd, layers-[32], dropout-0.3824842160536729"
"look_back-12, n_epochs-64, batch_size-64, optimizer-rmsprop, layers-[22, 11, 5], dropout-0.16142941031086327"
"look_back-14, n_epochs-16, batch_size-16, optimizer-rmsprop, layers-[16, 14, 12], dropout-0.032145136986992784"
