"look_back-38, n_epochs-16, batch_size-16, optimizer-sgd, layers-[19, 15], dropout-0.3449406424795072"
"look_back-26, n_epochs-256, batch_size-256, optimizer-rmsprop, layers-[3, 3, 2], dropout-0.1155222339779613"
"look_back-25, n_epochs-64, batch_size-64, optimizer-rmsprop, layers-[32], dropout-0.12374644346621166"
"look_back-39, n_epochs-512, batch_size-512, optimizer-sgd, layers-[1], dropout-0.17992890133286638"
"look_back-39, n_epochs-512, batch_size-512, optimizer-sgd, layers-[39, 23], dropout-0.18011710841166528"
"look_back-39, n_epochs-512, batch_size-512, optimizer-sgd, layers-[39], dropout-0.23974143786938562"
"look_back-39, n_epochs-512, batch_size-512, optimizer-sgd, layers-[39], dropout-0.16275849501793033"
"look_back-35, n_epochs-32, batch_size-32, optimizer-rmsprop, layers-[12, 8], dropout-0.0682885644977047"
"look_back-1, n_epochs-512, batch_size-512, optimizer-sgd, layers-[39], dropout-0.39202180722378893"
"look_back-1, n_epochs-32, batch_size-32, optimizer-sgd, layers-[39, 35, 32], dropout-0.41850793293525695"
"look_back-14, n_epochs-512, batch_size-512, optimizer-sgd, layers-[26], dropout-0.08914505115873772"
"look_back-19, n_epochs-128, batch_size-128, optimizer-rmsprop, layers-[36], dropout-0.35709800894808225"
"look_back-32, n_epochs-512, batch_size-512, optimizer-sgd, layers-[33], dropout-0.1593177279816716"
"look_back-32, n_epochs-32, batch_size-32, optimizer-sgd, layers-[16], dropout-0.07998405954886767"
"look_back-20, n_epochs-64, batch_size-64, optimizer-sgd, layers-[19, 18], dropout-0.10074390372753073"
"look_back-1, n_epochs-32, batch_size-32, optimizer-rmsprop, layers-[39, 33, 28], dropout-0.1862244226407443"
